Date,City,CO,NO2,SO2,O3,PM2.5,PM10,Type
2024-01-01 00:00:00+00:00,Moscow,208.0,15.9,13.2,44.0,8.6,9.4,Industrial
2024-01-01 01:00:00+00:00,Moscow,207.0,17.4,13.7,44.0,8.6,10.5,Industrial
2024-01-01 02:00:00+00:00,Moscow,217.0,19.0,15.5,43.0,10.4,12.9,Industrial
2024-01-01 03:00:00+00:00,Moscow,231.0,21.0,20.7,36.0,12.3,15.3,Industrial
2024-01-01 04:00:00+00:00,Moscow,263.0,34.5,27.2,27.0,13.6,20.0,Industrial
2024-01-01 05:00:00+00:00,Moscow,352.0,49.5,34.2,12.0,17.6,25.8,Industrial
2024-01-01 06:00:00+00:00,Moscow,389.0,53.4,40.2,8.0,22.9,31.6,Industrial
2024-01-01 07:00:00+00:00,Moscow,429.0,54.9,45.7,10.0,24.9,29.7,Industrial
2024-01-01 08:00:00+00:00,Moscow,431.0,47.1,47.5,17.0,22.5,32.6,Industrial
2024-01-01 09:00:00+00:00,Moscow,434.0,43.9,48.1,21.0,22.9,39.5,Industrial
2024-01-01 10:00:00+00:00,Moscow,472.0,45.1,47.4,20.0,23.0,43.8,Industrial
2024-01-01 11:00:00+00:00,Moscow,535.0,46.9,53.6,16.0,25.8,51.3,Industrial
2024-01-01 12:00:00+00:00,Moscow,556.0,50.2,61.2,10.0,29.7,60.0,Industrial
2024-01-01 13:00:00+00:00,Moscow,602.0,57.9,66.8,4.0,34.3,65.4,Industrial
2024-01-01 14:00:00+00:00,Moscow,765.0,63.0,66.0,1.0,57.2,70.0,Industrial
2024-01-01 15:00:00+00:00,Moscow,973.0,65.0,83.2,0.0,67.3,86.9,Industrial
2024-01-01 16:00:00+00:00,Moscow,1084.0,65.4,94.9,0.0,77.3,99.7,Industrial
2024-01-01 17:00:00+00:00,Moscow,955.0,66.1,91.2,1.0,67.3,89.1,Industrial
2024-01-01 18:00:00+00:00,Moscow,759.0,62.1,85.6,1.0,63.4,74.7,Industrial
2024-01-01 19:00:00+00:00,Moscow,688.0,59.9,79.0,1.0,54.4,69.1,Industrial
2024-01-01 20:00:00+00:00,Moscow,650.0,49.1,66.6,1.0,46.8,67.4,Industrial
2024-01-01 21:00:00+00:00,Moscow,534.0,43.8,51.4,4.0,39.8,57.2,Industrial
2024-01-01 22:00:00+00:00,Moscow,505.0,40.8,36.6,6.0,33.7,47.3,Industrial
2024-01-01 23:00:00+00:00,Moscow,381.0,37.5,28.5,7.0,30.0,33.2,Industrial
2024-01-02 00:00:00+00:00,Moscow,337.0,36.7,26.8,15.0,22.5,24.7,Industrial
2024-01-02 01:00:00+00:00,Moscow,303.0,33.7,32.6,23.0,20.1,22.0,Industrial
2024-01-02 02:00:00+00:00,Moscow,278.0,33.5,31.2,27.0,18.9,20.4,Industrial
2024-01-02 03:00:00+00:00,Moscow,266.0,34.7,35.7,28.0,19.4,21.4,Industrial
2024-01-02 04:00:00+00:00,Moscow,308.0,46.2,39.8,20.0,21.8,24.2,Industrial
2024-01-02 05:00:00+00:00,Moscow,373.0,54.4,42.9,13.0,25.0,30.8,Industrial
2024-01-02 06:00:00+00:00,Moscow,422.0,55.9,41.3,12.0,23.7,31.1,Industrial
2024-01-02 07:00:00+00:00,Moscow,407.0,50.5,39.3,17.0,22.5,29.7,Industrial
2024-01-02 08:00:00+00:00,Moscow,384.0,43.0,36.9,25.0,22.1,29.4,Industrial
2024-01-02 09:00:00+00:00,Moscow,394.0,34.1,34.1,35.0,20.9,25.7,Industrial
2024-01-02 10:00:00+00:00,Moscow,376.0,29.4,36.6,42.0,19.5,23.5,Industrial
2024-01-02 11:00:00+00:00,Moscow,366.0,30.8,37.9,40.0,20.0,24.5,Industrial
2024-01-02 12:00:00+00:00,Moscow,339.0,32.7,36.6,40.0,19.7,24.0,Industrial
2024-01-02 13:00:00+00:00,Moscow,384.0,39.1,26.7,36.0,15.8,24.4,Industrial
2024-01-02 14:00:00+00:00,Moscow,371.0,45.9,26.1,29.0,17.6,26.5,Industrial
2024-01-02 15:00:00+00:00,Moscow,411.0,49.1,26.4,24.0,18.9,24.8,Industrial
2024-01-02 16:00:00+00:00,Moscow,415.0,47.7,32.3,23.0,20.5,25.9,Industrial
2024-01-02 17:00:00+00:00,Moscow,390.0,45.5,36.9,25.0,20.8,26.3,Industrial
2024-01-02 18:00:00+00:00,Moscow,349.0,44.7,33.7,29.0,20.4,23.8,Industrial
2024-01-02 19:00:00+00:00,Moscow,321.0,42.4,30.6,28.0,19.3,21.4,Industrial
2024-01-02 20:00:00+00:00,Moscow,305.0,40.4,29.3,29.0,18.7,21.8,Industrial
2024-01-02 21:00:00+00:00,Moscow,281.0,33.7,28.6,34.0,17.8,21.5,Industrial
2024-01-02 22:00:00+00:00,Moscow,275.0,33.0,27.4,34.0,18.5,22.2,Industrial
2024-01-02 23:00:00+00:00,Moscow,260.0,31.6,25.8,34.0,18.7,19.7,Industrial
2024-01-03 00:00:00+00:00,Moscow,250.0,30.1,21.6,25.0,15.4,18.1,Industrial
2024-01-03 01:00:00+00:00,Moscow,244.0,31.4,22.5,22.0,14.8,18.9,Industrial
2024-01-03 02:00:00+00:00,Moscow,249.0,34.6,25.0,22.0,15.9,20.4,Industrial
2024-01-03 03:00:00+00:00,Moscow,266.0,37.7,30.6,19.0,18.7,21.7,Industrial
2024-01-03 04:00:00+00:00,Moscow,305.0,46.3,35.4,14.0,22.0,25.9,Industrial
2024-01-03 05:00:00+00:00,Moscow,423.0,54.8,43.2,4.0,27.1,31.8,Industrial
2024-01-03 06:00:00+00:00,Moscow,527.0,58.8,55.5,3.0,26.7,34.0,Industrial
2024-01-03 07:00:00+00:00,Moscow,448.0,60.6,62.3,5.0,33.7,37.1,Industrial
2024-01-03 08:00:00+00:00,Moscow,412.0,55.5,64.6,10.0,26.3,32.4,Industrial
2024-01-03 09:00:00+00:00,Moscow,410.0,51.4,49.5,14.0,30.2,32.0,Industrial
2024-01-03 10:00:00+00:00,Moscow,421.0,49.5,57.9,14.0,31.0,33.6,Industrial
2024-01-03 11:00:00+00:00,Moscow,462.0,49.8,65.3,12.0,31.8,36.0,Industrial
2024-01-03 12:00:00+00:00,Moscow,481.0,52.9,62.8,10.0,32.8,38.1,Industrial
2024-01-03 13:00:00+00:00,Moscow,543.0,59.5,53.1,6.0,34.1,39.3,Industrial
2024-01-03 14:00:00+00:00,Moscow,598.0,60.7,49.2,1.0,36.5,42.0,Industrial
2024-01-03 15:00:00+00:00,Moscow,655.0,59.9,51.3,1.0,37.7,47.0,Industrial
2024-01-03 16:00:00+00:00,Moscow,633.0,55.6,47.5,1.0,36.1,52.5,Industrial
2024-01-03 17:00:00+00:00,Moscow,541.0,55.5,48.7,0.0,36.0,52.5,Industrial
2024-01-03 18:00:00+00:00,Moscow,471.0,52.6,50.4,1.0,35.9,50.5,Industrial
2024-01-03 19:00:00+00:00,Moscow,423.0,52.1,51.0,2.0,36.2,48.1,Industrial
2024-01-03 20:00:00+00:00,Moscow,384.0,46.5,48.1,4.0,35.3,44.8,Industrial
2024-01-03 21:00:00+00:00,Moscow,358.0,42.0,45.2,10.0,33.6,39.8,Industrial
2024-01-03 22:00:00+00:00,Moscow,345.0,37.8,34.3,12.0,31.0,34.1,Industrial
2024-01-03 23:00:00+00:00,Moscow,344.0,36.0,27.3,14.0,25.7,29.7,Industrial
2024-01-04 00:00:00+00:00,Moscow,325.0,44.5,45.6,16.0,30.4,31.5,Industrial
2024-01-04 01:00:00+00:00,Moscow,316.0,44.4,50.7,17.0,28.1,31.7,Industrial
2024-01-04 02:00:00+00:00,Moscow,297.0,42.9,47.6,21.0,26.4,34.1,Industrial
2024-01-04 03:00:00+00:00,Moscow,295.0,44.4,46.7,21.0,27.6,33.0,Industrial
2024-01-04 04:00:00+00:00,Moscow,317.0,50.9,52.8,14.0,31.3,33.5,Industrial
2024-01-04 05:00:00+00:00,Moscow,491.0,60.7,80.5,1.0,35.6,43.5,Industrial
